event_time,trades_per_sec
1770965346.959,27
1770965348.928,5
1770965350.163,18
1770965351.178,65
1770965352.247,3
1770965353.279,14
1770965354.505,3
1770965355.533,1
1770965356.589,16
1770965357.798,50
1770965359.158,6
1770965360.653,8
1770965362.138,10
1770965363.21,2
1770965364.245,2
1770965365.691,93
1770965366.819,4
1770965367.934,5
1770965369.344,28
1770965370.581,18
1770965372.007,49
1770965373.163,5
1770965374.216,12
1770965375.316,3
1770965376.621,19
1770965378.208,89
1770965379.3,2
1770965380.442,3
1770965382.1,4
1770965383.165,4
1770965384.525,9
1770965385.788,162
1770965387.1,4
1770965388.799,182
1770965389.934,79
1770965390.956,2
1770965392.177,12
1770965393.187,22
1770965394.387,47
1770965395.649,24
1770965396.735,56
1770965397.882,1021
1770965398.896,68
1770965400.02,1
1770965401.048,368
1770965402.107,56
1770965404.015,261
1770965405.179,27
1770965406.298,5
1770965407.302,245
1770965408.538,6
1770965409.9,5
1770965411.014,4
1770965413.026,17
1770965414.173,55
1770965415.204,12
1770965416.288,4
1770965417.449,47
1770965418.675,164
1770965420.454,35
1770965421.907,9
1770965422.96,37
1770965424.166,18
1770965425.366,5
1770965426.505,57
1770965427.565,6
1770965428.758,28
1770965430.062,18
1770965431.122,59
1770965432.359,233
1770965433.511,96
1770965434.512,35
1770965435.557,105
1770965437.073,14
1770965438.25,231
1770965439.583,4
1770965441.049,24
1770965442.163,27
1770965443.219,1
1770965444.341,10
1770965445.572,4
1770965446.603,16
1770965447.77,10
1770965449.148,12
1770965450.21,161
1770965451.632,8
1770965452.747,317
1770965454.268,166
1770965455.371,1
1770965456.517,16
1770965457.65,1
1770965458.929,4
1770965460.037,4
1770965461.34,5
1770965462.479,2
1770965463.515,55
1770965464.721,14
1770965465.767,238
1770965466.769,9
1770965467.806,203
1770965468.985,44
1770965469.996,219
1770965471.176,146
1770965472.391,26
1770965473.58,5
1770965474.85,9
1770965476.178,2
1770965477.446,4
1770965478.706,7
1770965480.1,2
1770965481.162,7
1770965482.274,147
1770965483.547,191
1770965484.875,23
1770965486.203,67
1770965487.485,103
1770965489.199,24
1770965490.27,97
1770965491.365,2
1770965492.45,68
1770965493.527,3
1770965495.037,120
1770965496.25,3
1770965497.753,3
1770965498.923,213
1770965499.964,2
1770965501.715,146
1770965503.218,60
1770965504.292,133
1770965505.471,74
1770965506.472,205
1770965507.524,12
1770965508.731,56
1770965510.058,29
1770965511.089,3
1770965512.115,115
1770965513.122,56
1770965514.516,5
1770965516.188,15
1770965517.261,44
1770965518.426,14
1770965519.813,8
1770965521.373,39
1770965522.458,5
1770965523.486,50
1770965524.608,11
1770965525.687,22
1770965526.78,10
1770965528.484,243
1770965529.66,29
1770965530.976,3
1770965531.98,24
1770965533.155,84
1770965534.29,165
1770965535.45,4
1770965536.561,11
1770965537.679,91
1770965538.736,6
1770965539.955,31
1770965540.976,9
1770965542.348,185
1770965543.971,2
1770965544.976,13
1770965546.308,19
1770965547.436,7
1770965548.524,13
1770965550.096,3
1770965551.644,3
1770965552.644,52
1770965553.754,177
1770965555.205,68
1770965556.404,19
1770965557.635,27
1770965559.136,122
1770965560.202,16
1770965561.853,5
1770965562.907,5
1770965564.418,3
1770965565.537,4
1770965566.752,4
1770965568.0,31
1770965569.096,261
1770965570.205,234
1770965571.736,106
1770965572.899,4
1770965573.915,7
1770965574.938,3
1770965576.192,170
1770965577.216,3
1770965578.227,26
1770965579.546,46
1770965581.272,8
1770965582.344,150
1770965584.097,53
1770965585.252,2
1770965586.534,21
1770965587.715,28
1770965588.715,95
1770965589.762,60
1770965590.826,5
1770965591.836,6
1770965593.084,5
1770965594.175,5
1770965595.206,4
1770965596.416,140
1770965597.884,3
1770965598.895,6
1770965600.215,4
1770965601.598,1
1770965602.965,5
1770965604.158,9
1770965606.116,20
1770965607.202,39
1770965608.596,7
1770965610.269,2
1770965611.432,8
1770965612.696,4
1770965613.749,4
1770965614.853,135
1770965616.202,29
1770965617.713,6
1770965619.173,96
1770965620.204,37
1770965621.323,65
1770965622.471,16
1770965623.996,82
1770965625.187,20
1770965626.395,35
1770965628.233,4
1770965629.274,3
1770965630.343,88
1770965631.497,3
1770965632.779,4
1770965633.841,2
1770965634.863,9
1770965636.326,2
1770965637.451,28
1770965639.041,17
1770965640.165,74
1770965641.166,232
1770965642.183,31
1770965643.486,48
1770965644.933,113
